aktiv;orgform;fnr;fnavn;orgnr;virksomhet;virksomhet_kommunenr;virksomhet_kommune;vannforsyningssystem;mtid_vf;ir_orgform;vregnr;kommunenr;kommune;mtregion;mtavdeling;siste_insp;omraade;periode;vannprod;vannegetnett;vann_mottatt;max_vann_pers;max_vann_dogn;beredskap;beredsk_oppd;beredsk_ovelse;boliger;helseinst;skoler;nmindustri;hyttercamp;gardsbruk;fiskemottak;ant_fastboende;ant_personer_max;ant_husstander;ant_hytter;forbr_fast_bosetting;forbr_fritidsboliger;forbr_industri;forbr_tjytende;forbr_primnaering;forbr_annet;forbr_lekkasje
ja;BA;870071442;Onøy-Lurøy Vannverk;971870079;Onøy-Lurøy Vannverk;1834;Lurøy;Onøy/Lurøy Vannverk Al V/Bent Harald Sund;Z0704301340543521189FGBJR;Privat AS, BA, lag, stiftelse, statlig etc;183404;1834;Lurøy;Region Nord;Avdeling Helgeland;22.10.2019;Onøy og Lurøy;2017;87600.0;87600.0;0.0;0.0;0.0;ja;ja;nei;ja;ja;ja;nei;ja;ja;nei;415;1500;277;115;71.0;12.0;1.0;5.0;8.0;0.0;3.0
nei;ENK;970481826;Grorud Sigvart;973770829;Sigvart Grorud;3803;Tønsberg;Rannveig Grorud Vannverk;Z0704301340546331190YLUAQ;Privat AS, BA, lag, stiftelse, statlig etc;;;;Region Øst;Avdeling Vestfold;19.04.2018;Tveitan;2016;750.0;750.0;0.0;7.0;0.0;ja;ja;ja;ja;nei;ja;nei;nei;ja;nei;6;44;2;0;;;;;;;
ja;AS;989267000;Yttervik Camping As;976214021;Yttervik Camping As;1833;Rana;Yttervik Camping A/S;Z0704301340546521189LGGDD;Privat AS, BA, lag, stiftelse, statlig etc;;;;Region Nord;Avdeling Helgeland;29.05.2015;yttervik camping AS;2019;724.0;724.0;0.0;0.0;0.0;ja;nei;nei;ja;nei;nei;nei;ja;nei;nei;3;103;1;0;;;;;;;
nei;BEDR;;;975274640;Marlo Skule;513;Skjåk - UTGÅTT KODE;Marlo Skule Sfo;Z0704301340557651189XPNHL;;;;;Region Øst;Avdeling Gudbrandsdal;29.05.2008;;2009;800.0;800.0;0.0;;;;ja;nei;;;;;;;;1;100;2;0;;;;;;;
nei;BEDR;;;975274659;Nordberg Skule;513;Skjåk - UTGÅTT KODE;Nordberg Skule - Vannforsyning;Z0704301340560851189CJPER;Kommunal etat/enhet;;;;Region Øst;Avdeling Gudbrandsdal;28.07.2010;Nordberg skule;2017;0.0;0.0;0.0;0.0;365.0;ja;ja;nei;nei;nei;ja;nei;nei;nei;nei;0;150;0;0;;;;;;;
ja;AS;983448135;Polarcamp As;973907964;Polarcamp;1836;Rødøy;Polarsirkelen Kystferie A/S;Z0704301340573991189UEXXF;Privat AS, BA, lag, stiftelse, statlig etc;;;;Region Nord;Avdeling Helgeland;05.06.2015;Nordre Hilstad i Rødøy Kommune;2019;2000.0;2000.0;0.0;0.0;0.0;ja;nei;nei;ja;nei;nei;ja;ja;nei;nei;20;150;8;1;;;;;;;
ja;SA;977032660;Takle Vassverk Sa;919012471;Takle Vassverk Sa;4635;Gulen;Takle Vassverk;Z0704301340586491189ESFTN;Privat AS, BA, lag, stiftelse, statlig etc;;4635;Gulen;Region Sør og Vest;Avdeling Bergen og omland;08.09.2009;Takle;2018;7200.0;7200.0;0.0;0.0;;nei;nei;nei;ja;nei;nei;nei;nei;ja;nei;43;51;19;4;;;;;;;
ja;SA;970184120;Brekke Vassverk Sa;873298502;Brekke Vassverk A/L;4635;Gulen;Brekke Vassverk Sa;Z0704301340589281189IIOQX;Privat AS, BA, lag, stiftelse, statlig etc;141101;4635;Gulen;Region Sør og Vest;Avdeling Bergen og omland;10.10.2017;Brekke i Gulen kommune;2019;45000.0;45000.0;0.0;;;ja;ja;nei;ja;ja;ja;nei;ja;ja;nei;210;495;94;22;60.0;5.0;0.0;15.0;7.0;1.0;12.0
nei;BEDR;;;972868493;Tveitegrend Vassverk Ans;1263;Lindås - UTGÅTT KODE;Tveitegrend Vassverk Ans;Z0704301340599851189SNUVJ;;126314;4631;Alver;Region Sør og Vest;Avdeling Bergen og omland;28.05.2009;Del av Lindås kommune;2009;0.0;17536.0;17536.0;;;nei;nei;nei;ja;nei;nei;nei;ja;ja;nei;220;230;84;2;88.0;1.0;0.0;0.0;10.0;0.0;1.0
nei;AS;917438129;Dyrkolbotn Fjellstove As;971882948;Dyrkolbotn Fjellstove As;4631;Alver;Dyrkolbotn Fjellstove, Leirskule Og Gjestehus- Vannforsyning;Z0704301341002871189WRLCM;Privat AS, BA, lag, stiftelse, statlig etc;;;;Region Sør og Vest;Avdeling Bergen og omland;30.09.2014;Dyrkollbotn leirskule;2015;350.0;350.0;0.0;0.0;0.0;ja;nei;nei;nei;nei;ja;ja;nei;nei;nei;0;96;1;0;;;;;;;
