aktiv;orgform;fnr;fnavn;orgnr;virksomhet;virksomhet_kommunenr;virksomhet_kommune;vannforsyningssystem;mtid_vf;ir_orgform;vregnr;kommunenr;kommune;mtregion;mtavdeling;siste_insp;omraade;periode;vannprod;vannegetnett;vann_mottatt;max_vann_pers;max_vann_dogn;beredskap;beredsk_oppd;beredsk_ovelse;boliger;helseinst;skoler;nmindustri;hyttercamp;gardsbruk;fiskemottak;ant_fastboende;ant_personer_max;ant_husstander;ant_hytter;forbr_fast_bosetting;forbr_fritidsboliger;forbr_industri;forbr_tjytende;forbr_primnaering;forbr_annet;forbr_lekkasje
ja;KOMM;935478715;Bærum Kommune;974553619;Bærum Kommune Vann Og Avløp;3024;Bærum;Sollihøgda Vannverk Bærum Kommune Vann Og Avløp;Z0704301334220581190KVPHB;Kommunal etat/enhet;21903;3024;Bærum;Region Stor-Oslo;Avdeling Oslo, Asker og Bærum;24.09.2019;Sollihøgda;2019;8631.0;8631.0;0.0;130.0;365.0;ja;ja;ja;ja;nei;nei;nei;nei;nei;nei;137;137;53;0;82.0;0.0;0.0;0.0;0.0;14.0;4.0
ja;SA;870953682;Vaksvik Vassverk Sa;973332449;Vaksvik Vassverk Sa;1507;Ålesund;Vaksvik Vassverk A/L;Z0704301334229761190PVHZK;Privat AS, BA, lag, stiftelse, statlig etc;152302;1507;Ålesund;Region Midt;Avdeling Sunnmøre;03.04.2019;Vaksvika;2019;42000.0;42000.0;0.0;0.0;0.0;ja;nei;nei;ja;nei;ja;nei;ja;ja;nei;180;230;90;51;35.0;15.0;5.0;0.0;35.0;0.0;10.0
ja;SA;970549757;Hildre Vasslag Sa;982657083;Hildre Vasslag Sa;1507;Ålesund;Hildre Vasslag A/L;Z0704301334273461190HPIXO;Privat AS, BA, lag, stiftelse, statlig etc;153405;1507;Ålesund;Region Midt;Avdeling Sunnmøre;22.04.2014;Strekn. Alvestad-Hildre. VASSLAGET FORSYNES FRA: Haram komm. v.v.Ytre;2018;0.0;27000.0;27000.0;1000.0;365.0;nei;ja;ja;ja;nei;ja;nei;nei;ja;nei;250;250;76;2;50.0;10.0;15.0;5.0;10.0;5.0;5.0
nei;FLI;;;986306757;Nye Løite Vannverk;911;Gjerstad - UTGÅTT KODE;Løite Vannverk;Z0704301334311811190DXMOL;;91104;4211;Gjerstad;Region Sør og Vest;Avdeling Agder;14.09.2009;;2010;9000.0;9000.0;0.0;;;nei;nei;nei;ja;;;nei;nei;;;105;105;42;0;80.0;1.0;0.0;0.0;19.0;0.0;0.0
nei;BA;;;976929004;Alnes Vassverk Ba;1532;Giske;Alnes Vassverk;Z0704301334335091189ACHFQ;;153202;1532;Giske;Region Midt;Avdeling Sunnmøre;02.09.2008;Alnes;2009;0.0;30300.0;30300.0;;;ja;nei;nei;ja;nei;ja;nei;ja;ja;nei;194;284;83;14;80.0;;;;;10.0;10.0
ja;SA;970197567;Fjørtoft Vassverk Sa;998951623;Fjørtoft Vassverk Sa;1507;Ålesund;Fjørtoft Vassverk Sa;Z0704301334355061189GZVWT;Privat AS, BA, lag, stiftelse, statlig etc;153406;1507;Ålesund;Region Midt;Avdeling Sunnmøre;15.10.2013;Fjørtofta FORSYNES FRA: Haram komm.v.v.Ytre;2019;0.0;91479.0;91479.0;120.0;365.0;ja;ja;ja;ja;nei;nei;ja;nei;ja;ja;120;350;80;61;12.0;4.0;53.0;1.0;5.0;2.0;23.0
ja;SA;970554203;Hellestranda Vassverk Sa;882657272;Hellestranda Vassverk Sa;1507;Ålesund;Hellestranda Vassverk Al Fr;Z0704301334357881189ULHXL;Privat AS, BA, lag, stiftelse, statlig etc;153414;1507;Ålesund;Region Midt;Avdeling Sunnmøre;11.02.2014;Hellestranda FORSYNES FRA: Haram komm.v.v.Indre;2019;0.0;16000.0;16000.0;160.0;365.0;ja;nei;nei;ja;nei;nei;nei;ja;nei;nei;136;136;58;2;82.0;6.0;0.0;0.0;5.0;2.0;5.0
nei;SA;984618182;Flatebygd Vannverk Sa;984781571;Flatebygd Vannverk Sa;4219;Evje og Hornnes;Flatebygd Vannverk Ba V/Ånund Flaat;Z0704301334415621189NNIZX;Privat AS, BA, lag, stiftelse, statlig etc;93703;4219;Evje og Hornnes;Region Sør og Vest;Avdeling Agder;20.03.2014;Flatebygd;2015;6874.0;6736.0;0.0;0.0;0.0;nei;nei;nei;ja;nei;nei;nei;nei;ja;nei;90;145;37;3;80.0;3.0;;;15.0;;2.0
ja;AS;984099118;Brokke Vatn Og Avlaupsverk As;984125917;Brokke Vatn Og Avlaupsverk As;4221;Valle;Kvislistøyl Vassverk Brokke Vatn- Og Avlaupsverk As;Z0704301335211671190BJAHD;Privat AS, BA, lag, stiftelse, statlig etc;94005;4216;Birkenes;Region Sør og Vest;Avdeling Agder;24.01.2018;Brokke hyttefelt og Garane boligfelt;2019;24000.0;24000.0;0.0;;;ja;nei;nei;ja;nei;nei;nei;nei;ja;nei;50;500;50;400;20.0;80.0;0.0;0.0;0.0;0.0;0.0
nei;AS;985345899;Øyvar As;980440710;Øyvar As   Avd Distribusjon;4626;Øygarden;Stranda-Glesnes Vassverk;Z0704301335253481190RISRX;Kommunalt aksjeselskap;124503;4626;Øygarden;Region Sør og Vest;Avdeling Bergen og omland;03.12.2015;Sund kommune;2019;122488.0;122488.0;90000.0;2200.0;365.0;ja;ja;ja;ja;nei;ja;ja;ja;ja;ja;2262;2262;901;20;30.0;5.0;25.0;10.0;5.0;0.0;25.0
nei;AS;985345899;Øyvar As;980440710;Øyvar As   Avd Distribusjon;4626;Øygarden;Kørelen Vassverk;Z0704301335255041190PUVER;Kommunalt aksjeselskap;124502;4626;Øygarden;Region Sør og Vest;Avdeling Bergen og omland;22.11.2017;Sund kommune;2019;1037574.0;1037574.0;0.0;2500.0;365.0;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;4165;4165;1658;25;20.0;5.0;20.0;10.0;10.0;5.0;30.0
ja;AS;983633358;Gann Tre Prosjekt As;983747108;Gann Tre Prosjekt As;1119;Hå;Eikemyrane Hyttefelt;Z0704301335310341190RZTUF;Privat AS, BA, lag, stiftelse, statlig etc;111404;1114;Bjerkreim;Region Sør og Vest;Avdeling Sør-Rogaland, Sirdal og Flekkefjord;19.06.2014;Eikemyrane hyttefelt;2019;111250.0;111250.0;0.0;0.0;0.0;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;0;130;0;32;;;;;;;
ja;FLI;971494794;Ålgård Baptistmenighet;973484044;Ålgård Baptistmenighet;1122;Gjesdal;Liland Ungdomssenter - Vannforsyning;Z0704301335319681190KRYFK;Privat AS, BA, lag, stiftelse, statlig etc;;1122;Gjesdal;Region Sør og Vest;Avdeling Sør-Rogaland, Sirdal og Flekkefjord;04.12.2008;Liland ungdomssenter;2019;875.0;875.0;0.0;0.0;0.0;ja;nei;nei;nei;nei;nei;ja;nei;nei;nei;0;100;0;0;;;;;;;
nei;AS;983270492;Moi Bygg As;983348971;Moi Bygg As;4227;Kvinesdal;Neset Hyttefelt;Z0704301335321791190HQUQU;;;;;Region Sør og Vest;Avdeling Sør-Rogaland, Sirdal og Flekkefjord;19.04.2012;Neset hyttefelt;2011;600.0;600.0;;;;ja;nei;nei;nei;nei;nei;nei;ja;nei;nei;0;50;0;12;;;;;;;
ja;ENK;979575815;Jan Erik Gjernes;979611862;Jan Erik Gjernes;4201;Risør;Leivann V/Jan Gjernes;Z0704301335326241189ZPULZ;;90104;4201;Risør;Region Sør og Vest;Avdeling Agder;02.06.2010;;2011;596.0;596.0;;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;0;300;0;78;;;;;;;
nei;BEDR;;;972489352;Solsvik Vassverk Sa;1246;Fjell - UTGÅTT KODE;Solsvik Vassverk;Z0704301335335271189SYNRO;Privat AS, BA, lag, stiftelse, statlig etc;124603;4626;Øygarden;Region Sør og Vest;Avdeling Bergen og omland;16.07.2013;Solsvik, Nordre Landro og Misje;2013;115000.0;115000.0;0.0;0.0;0.0;ja;ja;ja;ja;nei;ja;nei;nei;ja;nei;850;900;240;20;85.0;5.0;1.0;;1.0;;8.0
nei;KOMM;964338442;Askøy Kommune;973960636;Askøy Kommune Avløp;4627;Askøy;Ingersvann Vannverk;Z0704301335346311189DCFVG;;124713;4627;Askøy;Region Sør og Vest;Avdeling Bergen og omland;;;2012;1662200.0;1662200.0;0.0;;;ja;ja;ja;ja;;;ja;ja;;;5580;5580;1832;10;54.0;1.0;15.0;;;;30.0
nei;BA;;;979528280;Tørrem Vannverk;5057;Ørland;Tørem Vannverk V/ Geir Svendsen;Z0704301335348871190WTYHK;;162709;5057;Ørland;Region Midt;Avdeling Innherred og Fosen;03.04.2014;Tørrem;2012;0.0;10000.0;;;;ja;ja;ja;ja;nei;nei;nei;nei;ja;nei;54;65;24;5;100.0;100.0;;;100.0;;
ja;SA;970218882;Hindrem & Seter Vassverk Sa;872488812;Hindrum Og Sæther Vassverk;5054;Indre Fosen;Hindrem & Sæther Vassverk V/Kolbjørn Sæthertrø;Z0704301335358621190DCESO;Privat AS, BA, lag, stiftelse, statlig etc;171802;5054;Indre Fosen;Region Midt;Avdeling Innherred og Fosen;18.03.2019;;2019;20872.0;20872.0;0.0;350.0;365.0;ja;ja;ja;ja;;;nei;ja;;;175;175;76;79;75.0;15.0;10.0;0.0;0.0;0.0;0.0
ja;SA;970187308;Rissa Vannverk Sa;971893699;Rissa Vannverk Sa;5054;Indre Fosen;Rissa Vannverk;Z0704301335367631190SANCJ;Privat AS, BA, lag, stiftelse, statlig etc;162402;5054;Indre Fosen;Region Midt;Avdeling Innherred og Fosen;12.11.2019;Endel av Indre Fosen Kommune;2019;415011.0;415011.0;0.0;2000.0;1.0;ja;ja;ja;ja;ja;ja;ja;ja;ja;nei;2000;3000;730;80;50.0;10.0;15.0;5.0;10.0;5.0;5.0
ja;KOMM;939898743;Røros Kommune;974563959;Vannverket I Røros;5025;Røros;Røros Vannverk;Z0704301335369291190KYBNE;Kommunal etat/enhet;164003;5025;Røros;Region Midt;Avdeling Gauldal;28.05.2019;;2019;734616.0;734616.0;0.0;0.0;0.0;ja;nei;ja;ja;ja;ja;ja;ja;ja;nei;3600;5000;1840;250;35.0;20.0;10.0;10.0;5.0;0.0;20.0
ja;KOMM;939898743;Røros Kommune;974563959;Vannverket I Røros;5025;Røros;Brekken Vannverk;Z0704301335373081190GGZPA;Kommunal etat/enhet;164001;5025;Røros;Region Midt;Avdeling Gauldal;28.05.2019;;2019;31000.0;31000.0;0.0;0.0;0.0;ja;nei;ja;ja;nei;ja;nei;nei;ja;nei;200;200;70;0;60.0;15.0;0.0;5.0;0.0;0.0;20.0
ja;SA;975736059;Jåren Vassverk Sa;985247269;Jåren Vassverk Sa;5028;Melhus;Jåren Vassverk V/Helge Antonsen;Z0704301335374051190QCWUR;Privat AS, BA, lag, stiftelse, statlig etc;165311;5028;Melhus;Region Midt;Avdeling Gauldal;14.08.2019;Jåren;2019;23000.0;23000.0;0.0;200.0;365.0;nei;ja;nei;ja;nei;nei;nei;ja;ja;nei;95;110;35;3;50.0;5.0;0.0;5.0;40.0;0.0;0.0
ja;KOMM;938726027;Melhus Kommune;974559706;Melhus Kommunale Vannverk;5028;Melhus;Melhus Vannverk - Benna;Z0704301335381471190MBXUL;Kommunal etat/enhet;165305;5028;Melhus;Region Midt;Avdeling Gauldal;03.12.2019;Gauldalen fra Øysand til Haga bru;2019;0.0;1396852.0;1396852.0;11000.0;365.0;nei;ja;nei;ja;ja;ja;ja;ja;ja;nei;11000;9500;4600;32;36.0;0.0;13.0;0.0;0.0;20.0;31.0
ja;ANNA;971491434;Lunden Leir- Og Fritidssenter;920302203;Lunden Leir- Og Fritidssenter;1111;Sokndal;Lunden Leir & Fritidssenter - Vannforsyning;Z0704301335387921189PDNZP;Privat AS, BA, lag, stiftelse, statlig etc;;1111;Sokndal;Region Sør og Vest;Avdeling Sør-Rogaland, Sirdal og Flekkefjord;08.06.2010;Lunden leir & fritidssenter;2019;260.0;260.0;0.0;;;ja;ja;ja;nei;nei;nei;nei;ja;nei;nei;0;100;0;0;;;;;;;
ja;SA;;;961279534;Heskestad Kulturhus Sa;1112;Lund;Heskestad Kulturhus Vannforsyning;Z0704301335389581189WPXFE;Kommunalt eid lag, stiftelse etc. (BA, DA, FLI, STI);;1112;Lund;Region Sør og Vest;Avdeling Sør-Rogaland, Sirdal og Flekkefjord;06.11.2014;Eide;2019;2000.0;2000.0;0.0;0.0;0.0;ja;ja;nei;nei;nei;nei;ja;nei;nei;nei;0;50;0;0;;;;;;;
ja;SAM;871019452;Enodd Vassverk;914026180;Enodd Vassverk;5027;Midtre Gauldal;Enodd Vassverk;Z0704301335400571190QQJKN;Privat AS, BA, lag, stiftelse, statlig etc;164801;5027;Midtre Gauldal;Region Midt;Avdeling Gauldal;03.09.2019;Enodd;2019;9500.0;9500.0;0.0;150.0;365.0;ja;nei;ja;ja;nei;ja;ja;nei;ja;nei;103;210;44;9;66.0;8.0;1.0;10.0;10.0;2.0;3.0
nei;AS;885832652;Ådneram Skitrekk As;874825972;Ådneram Skitrekk As;4228;Sirdal;Ådneram Skitrekk Vannforsyning;Z0704301335408241189KWDNG;Privat AS, BA, lag, stiftelse, statlig etc;;;;Region Sør og Vest;Avdeling Sør-Rogaland, Sirdal og Flekkefjord;25.08.2010;;2014;370.0;370.0;;;;;ja;nei;nei;nei;nei;ja;ja;nei;nei;0;100;0;0;;;;;;;
ja;FLI;975626938;Ørsdølen Båtforening;915171168;Ørsdølen Båtforening;1114;Bjerkreim;Lauperak Selskapslokale Vannforsyning;Z0704301335410231189CGWNF;Privat AS, BA, lag, stiftelse, statlig etc;;;;Region Sør og Vest;Avdeling Sør-Rogaland, Sirdal og Flekkefjord;02.09.2011;;2019;5.0;5.0;0.0;;;;nei;nei;nei;nei;nei;ja;nei;nei;nei;0;60;0;0;;;;;;;
ja;SA;970091165;Ålen Vassverk Sa;973295616;Ålen Vassverk Sa;5026;Holtålen;Ålen Vassverk Al V/Leder Jan Arve Engesvold;Z0704301335410421190AFFOK;Privat AS, BA, lag, stiftelse, statlig etc;164402;5026;Holtålen;Region Midt;Avdeling Gauldal;12.08.2019;;2019;436829.0;436829.0;0.0;1100.0;200.0;ja;ja;ja;ja;;;nei;ja;;;1150;1272;360;152;50.0;10.0;10.0;0.0;20.0;0.0;10.0
ja;FLI;;;987553782;Risvik Hytteforening;;;Risvik Hyttegrend - Vannforsyning;Z0704301335411961189FPFYA;Privat AS, BA, lag, stiftelse, statlig etc;110105;1101;Eigersund;Region Sør og Vest;Avdeling Sør-Rogaland, Sirdal og Flekkefjord;;Risvik hyttegrend;2018;1089.0;1089.0;0.0;0.0;0.0;ja;nei;nei;nei;nei;nei;nei;ja;nei;nei;0;100;0;26;;;;;;;
ja;SA;870231032;Hessdalen Vassverk Sa;973331345;Hessdalen Vassverk Sa;5026;Holtålen;Hessdalen Vassverk Al Rognsåa/Grøtåa;Z0704301335411961190FENTJ;Kommunalt eid lag, stiftelse etc. (BA, DA, FLI, STI);164404;5026;Holtålen;Region Midt;Avdeling Gauldal;25.06.2019;Hessdalen;2019;63690.0;63690.0;0.0;0.0;0.0;ja;ja;nei;ja;nei;nei;ja;ja;ja;nei;120;320;66;52;30.0;20.0;0.0;0.0;30.0;0.0;20.0
ja;KOMM;940083672;Rennebu Kommune;976678265;Rennebu Kommune Teknisk Drift;5022;Rennebu;Berkåk Vannverk;Z0704301335420151190FAHYT;Kommunal etat/enhet;163501;5022;Rennebu;Region Midt;Avdeling Gauldal;15.05.2019;Berkåk;2019;134545.0;134545.0;0.0;;;ja;nei;ja;ja;ja;ja;ja;ja;ja;nei;1500;1500;535;12;65.0;5.0;15.0;5.0;5.0;0.0;5.0
ja;SA;970090398;Skjørdøla Vassverk Sa;994123386;Skjørdøla Vassverk Sa;5021;Oppdal;Skjørdøla Vannverk;Z0704301335423721190TSUMC;Privat AS, BA, lag, stiftelse, statlig etc;163403;5021;Oppdal;Region Midt;Avdeling Gauldal;04.09.2018;Skjørdøla;2019;50400.0;50400.0;0.0;450.0;365.0;ja;ja;ja;ja;nei;nei;nei;ja;ja;nei;450;640;152;60;50.0;20.0;0.0;0.0;20.0;0.0;10.0
ja;KOMM;940083672;Rennebu Kommune;976678265;Rennebu Kommune Teknisk Drift;5022;Rennebu;Havdal Vannverk;Z0704301335425191190LOBFW;Kommunal etat/enhet;163506;5022;Rennebu;Region Midt;Avdeling Gauldal;15.05.2019;Havdal;2019;6129.0;6129.0;0.0;0.0;0.0;ja;nei;ja;ja;nei;nei;nei;ja;ja;nei;49;49;13;3;;;;;;;
ja;IKS;971034637;Glitrevannverket Iks;979079265;Glitrevannverket Iks;3005;Drammen;Glitrevannverket Iks - Sylling (Holsfjorden) - Vannforsyningssystem;Z0704301335429141189LFCVP;Interkommunalt selskap (IKS);62608;3049;Lier;Region Øst;Avdeling Søndre Buskerud;05.03.2019;Deler av Lier  (Sylling og Tronstad);2019;153155.0;0.0;0.0;;;ja;ja;ja;ja;ja;ja;ja;nei;ja;nei;900;1000;0;0;40.0;1.0;1.0;4.0;10.0;4.0;40.0
ja;SA;924200308;Svorunda Vannverk Sa;996578100;Svorunda Vannverk Sa;5021;Oppdal;Svorunda Vannverk Sa;Z0704301335432201190CWPLJ;Privat AS, BA, lag, stiftelse, statlig etc;163408;5021;Oppdal;Region Midt;Avdeling Gauldal;08.10.2018;Svorunda;2019;148920.0;148920.0;12498.0;150.0;365.0;ja;ja;nei;ja;nei;nei;ja;ja;ja;nei;250;630;90;190;10.0;20.0;0.0;15.0;50.0;0.0;5.0
ja;SA;970109862;Tofte Vannverk Sa;971871504;Tofte Vannverk Sa;3025;Asker;Tofte Vannverk;Z0704301335433821189TNBRN;Privat AS, BA, lag, stiftelse, statlig etc;62804;3025;Asker;Region Øst;Avdeling Søndre Buskerud;03.09.2019;Tofte;2019;142350.0;142350.0;0.0;2300.0;365.0;ja;ja;nei;ja;nei;ja;nei;ja;ja;nei;1900;2300;680;15;51.0;5.0;1.0;7.0;0.0;0.0;36.0
ja;SA;970109714;Filtvet Vannverk Sa;973303163;Filtvedt Vannverk A/L;3025;Asker;Filtvet Vannverk A/L Per Ole Justad;Z0704301335442821189JSUNM;Privat AS, BA, lag, stiftelse, statlig etc;62801;3025;Asker;Region Øst;Avdeling Søndre Buskerud;03.09.2019;Filtvet;2019;237742.0;237742.0;0.0;3500.0;365.0;ja;ja;nei;ja;ja;ja;ja;ja;ja;nei;2600;3500;970;330;50.0;10.0;0.0;5.0;0.0;0.0;35.0
ja;ENK;943509891;Gullvåg Camping Nyberg;973214063;Gullvåg Camping;5027;Midtre Gauldal;Gullvåg Camping V/Odd Og Oddfrid Nyberg;Z0704301335446461190JBJRR;Kommunal etat/enhet;;;;Region Midt;Avdeling Gauldal;12.05.2016;Gullvåg;2017;1100.0;1100.0;0.0;0.0;0.0;ja;nei;nei;ja;nei;nei;ja;ja;nei;nei;2;150;1;0;;;;;;;
nei;ENK;994684655;Ivar Johan Haug;972943827;Ivar Johan Haug;3025;Asker;Knatvoldstranda Camping Vannv. V/Ivar Johan Haug;Z0704301335449091189MXRCA;Privat AS, BA, lag, stiftelse, statlig etc;;;;Region Øst;Avdeling Søndre Buskerud;29.08.2018;Knatvoldstranda Camping;2017;500.0;500.0;0.0;;;nei;ja;ja;nei;nei;nei;ja;ja;nei;nei;0;400;0;0;;;;;;;
nei;FLI;974246392;Norges Automobil-Forbund Avd. Drammen Og Opland;974841282;Norges Automobilforbund Avd. Drammen;3005;Drammen;Rødtangen Camping Vannverk;Z0704301335458871189IPBPV;Privat AS, BA, lag, stiftelse, statlig etc;;3025;Asker;Region Øst;Avdeling Søndre Buskerud;05.08.2011;Rødtangen;2014;2495.0;2500.0;;;;ja;nei;nei;nei;nei;nei;ja;ja;nei;nei;0;660;0;1;;;;;;;
ja;SA;972419915;Sørfjord Vassverk Sa;912984265;Sørfjord Vassverk Sa;5054;Indre Fosen;Sørfjord Vannverk V/ Ronny Enebakk;Z0704301335460001189ALSLP;Privat AS, BA, lag, stiftelse, statlig etc;162405;5054;Indre Fosen;Region Midt;Avdeling Innherred og Fosen;24.09.2013;Sørfjorden;2019;0.0;0.0;30000.0;0.0;0.0;ja;ja;ja;ja;nei;nei;nei;ja;ja;nei;250;250;103;2;70.0;3.0;0.0;0.0;0.0;27.0;0.0
nei;SA;870089872;Nes Vassverk Sa;972471313;Nes Vassverk Sa;5057;Ørland;Nes Vassverk V/ Ivar Hellem;Z0704301335461531189ZHXAQ;Kommunal etat/enhet;162706;5057;Ørland;Region Midt;Avdeling Innherred og Fosen;21.01.2015;Nes herred;2018;62000.0;62000.0;0.0;;;ja;ja;ja;ja;nei;nei;ja;nei;ja;nei;150;290;70;70;50.0;30.0;0.0;0.0;20.0;0.0;0.0
ja;SA;967018848;Leksvik Vassverk Sa;973295667;Leksvik Vassverk Sa;5054;Indre Fosen;Leksvik Vassverk A/L V/Harald Ramdal;Z0704301335476951189TDYQN;Privat AS, BA, lag, stiftelse, statlig etc;171801;5054;Indre Fosen;Region Midt;Avdeling Innherred og Fosen;06.12.2018;;2019;481949.0;481949.0;0.0;1990.0;2.0;ja;ja;ja;ja;;;nei;ja;;;1990;2110;832;70;38.0;1.0;41.0;5.0;5.0;5.0;5.0
ja;SA;970551069;Dalbygda Vassverk Sa;987619910;Dalbygda Vassverk Sa;5054;Indre Fosen;Dalbygda Vassverk A/L V/Johan Arnt Kruksve;Z0704301335478741189KKTUE;Privat AS, BA, lag, stiftelse, statlig etc;171803;5054;Indre Fosen;Region Midt;Avdeling Innherred og Fosen;18.03.2019;Dalbygda og Leksvik;2019;26000.0;26000.0;0.0;0.0;0.0;ja;ja;nei;ja;ja;ja;ja;ja;ja;nei;220;220;82;8;70.0;1.0;0.0;0.0;25.0;0.0;4.0
ja;KOMM;964983003;Oppdal Kommune;988018988;Oppdal Kommune Vannverk;5021;Oppdal;Oppdal Sentrum Vannverk;Z0704301335488631189BCBSY;Kommunal etat/enhet;163402;5021;Oppdal;Region Midt;Avdeling Gauldal;11.12.2019;Oppdal sentrum og Driva;2019;907232.0;907232.0;3600.0;;;ja;nei;ja;ja;ja;ja;ja;ja;ja;nei;4295;7650;1895;695;30.0;8.0;8.0;15.0;3.0;0.0;36.0
nei;ENK;922629226;Wang C.O;971750855;Dnt Osbakken Kafe;3407;Gjøvik;Osbakken Kafé Og Pensjonat - Vannforsyning;Z0704301335490861190VQYWS;;;;;Region Øst;Avdeling Mjøsområdet;01.09.2014;;2009;105.0;105.0;;;;ja;nei;nei;ja;nei;nei;ja;nei;nei;nei;2;100;2;0;;;;;;;
ja;KOMM;939898743;Røros Kommune;974563959;Vannverket I Røros;5025;Røros;Glåmos Vannverk;Z0704301335491361189SQOVI;Kommunal etat/enhet;164002;5025;Røros;Region Midt;Avdeling Gauldal;28.05.2019;Glåmos;2019;109500.0;109500.0;0.0;300.0;365.0;ja;nei;ja;ja;nei;ja;nei;ja;ja;nei;300;380;110;39;55.0;10.0;0.0;0.0;0.0;0.0;35.0
ja;KOMM;970187715;Midtre Gauldal Kommune;974623110;Eiendom Og Kommunalteknikk  Administrasjon;5027;Midtre Gauldal;Støren Vannverk;Z0704301335492561189GWSQB;Kommunal etat/enhet;164805;5027;Midtre Gauldal;Region Midt;Avdeling Gauldal;05.04.2019;Støren sentrum og nærliggende bebyggelse;2019;692938.0;692938.0;0.0;2500.0;365.0;nei;ja;ja;ja;ja;ja;ja;ja;ja;nei;2500;2600;835;0;34.0;0.0;36.0;5.0;0.0;5.0;20.0
ja;ENK;954705889;Toten Gjestegård Olav Gran;973393308;Toten Gjestegård Olav Gran;3442;Østre Toten;Toten Gjestegård - Vannforsyning;Z0704301335492721190KBGUG;Privat AS, BA, lag, stiftelse, statlig etc;;;;Region Øst;Avdeling Mjøsområdet;14.03.2019;;2015;100.0;100.0;0.0;0.0;0.0;nei;ja;ja;ja;nei;nei;ja;nei;nei;nei;2;100;2;0;;;;;;;
ja;SA;970187618;Forsetmo Vassverk Sa;872465332;Forsetmo Vassverk Sa;5027;Midtre Gauldal;Forsetmo Vassverk;Z0704301335502511189NXXCJ;Privat AS, BA, lag, stiftelse, statlig etc;164802;5027;Midtre Gauldal;Region Midt;Avdeling Gauldal;11.02.2020;Bjørgen;2019;14000.0;14000.0;0.0;120.0;365.0;ja;nei;nei;ja;nei;ja;ja;nei;ja;nei;120;140;60;11;60.0;10.0;1.0;3.0;15.0;1.0;10.0
ja;BA;969996804;Fremo Vassverk Al;972832944;Fremo Vassverk Al;5028;Melhus;Fremo Vannverk;Z0704301335504301189XATUC;Privat AS, BA, lag, stiftelse, statlig etc;165314;5028;Melhus;Region Midt;Avdeling Gauldal;29.08.2017;Fremo;2019;121000.0;120000.0;0.0;0.0;0.0;ja;ja;ja;ja;nei;nei;nei;ja;ja;nei;650;650;233;7;64.0;1.0;0.0;0.0;5.0;0.0;30.0
ja;FLI;;;889077972;Igla Vannverk;5022;Rennebu;Igla Vannverk;Z0704301335506301189AOEVC;Privat AS, BA, lag, stiftelse, statlig etc;163511;;;Region Midt;Avdeling Gauldal;28.04.2015;Nordskogen;2019;4950.0;4950.0;0.0;;;ja;ja;ja;ja;nei;nei;nei;ja;ja;nei;20;120;6;25;;;;;;;
ja;SA;970547614;Singsås Vassverk Sa;982656966;Singsås Vassverk Sa;5027;Midtre Gauldal;Singsås Vassverk;Z0704301335516711189IRSPI;Privat AS, BA, lag, stiftelse, statlig etc;164803;5027;Midtre Gauldal;Region Midt;Avdeling Gauldal;08.02.2019;Singsås;2019;25550.0;25550.0;0.0;300.0;365.0;ja;nei;ja;ja;ja;ja;ja;nei;ja;nei;300;350;127;10;55.0;3.0;6.0;5.0;15.0;0.0;16.0
ja;KOMM;970187715;Midtre Gauldal Kommune;974623110;Eiendom Og Kommunalteknikk  Administrasjon;5027;Midtre Gauldal;Rognes Vasslag;Z0704301335522121189WNGFZ;Kommunal etat/enhet;;;;Region Midt;Avdeling Gauldal;29.06.2018;;2019;1125.0;1125.0;0.0;0.0;0.0;ja;nei;nei;ja;nei;nei;nei;nei;nei;nei;32;32;8;0;;;;;;;
ja;KOMM;940083672;Rennebu Kommune;976678265;Rennebu Kommune Teknisk Drift;5022;Rennebu;Innset Vannverk;Z0704301335530131189KUMHW;Kommunal etat/enhet;163505;5022;Rennebu;Region Midt;Avdeling Gauldal;15.05.2019;Innset;2019;8560.0;8560.0;0.0;0.0;0.0;ja;nei;ja;ja;nei;ja;ja;nei;ja;nei;120;120;43;3;70.0;5.0;0.0;5.0;15.0;0.0;5.0
ja;AS;989826549;Hevle Eiendom As;973323148;Hevle Eiendom As;5021;Oppdal;Granmo Camping Hevle Eiendom As V/Lars Hevle;Z0704301335531381189DJWZU;Privat AS, BA, lag, stiftelse, statlig etc;;;;Region Midt;Avdeling Gauldal;23.06.2015;Granmo camping;2017;900.0;900.0;0.0;0.0;0.0;ja;ja;ja;nei;nei;nei;nei;ja;nei;nei;0;550;0;0;;;;;;;
ja;KOMM;940083672;Rennebu Kommune;976678265;Rennebu Kommune Teknisk Drift;5022;Rennebu;Ulsberg Vannverk;Z0704301335533191189ZTQCB;Kommunal etat/enhet;163502;5022;Rennebu;Region Midt;Avdeling Gauldal;15.05.2019;Ulsberg;2019;3658.0;3658.0;0.0;0.0;0.0;ja;nei;ja;ja;nei;nei;nei;nei;ja;nei;107;130;36;7;65.0;10.0;0.0;0.0;20.0;0.0;5.0
